,Brand,Product Name,Price,Availability,Expected Delivery,Return Policy,Exchange,Product Url
60,Maniac,"Colorblock Men's Zip Round Neck Black, Dgrey Polyester T-Shirt",₹379,Available,"Tuesday, August 9 on your first order in this category",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09917873O4D0EDH3C6LI&url=%2FManiac-Colorblock-Mens-Round-Polyester-T-Shirt%2Fdp%2FB09M6QQWB7%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-49-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_atf_next
61,Generic,MANVI FASHION Men T-Shirt Regular,"₹2,999",Available,"Monday, August 8",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0192187T5CEWXRJN97K&url=%2FMANVI-FASHION-Men-T-Shirt-Regular%2Fdp%2FB0B1B55HQ4%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-50-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_atf_next
62,Generic,Nakoda Creation Full Sleeve T-shirt,₹699,Only 1 left in stock.,+,30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A078000639CFY8ZHMOU2A&url=%2FNakoda-Creation-Full-Sleeve-T-shirt%2Fdp%2FB0B7SMG7KC%2Fref%3Dsr_1_51_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-51-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_atf_next
63,Generic,Nakoda Creation Full Sleeve T-shirt Grey Color,₹699,Only 1 left in stock.,+,30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A078083032S4GLH144SH5&url=%2FNakoda-Creation-Sleeve-T-shirt-Color%2Fdp%2FB0B7SML25R%2Fref%3Dsr_1_52_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-52-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_atf_next
64,Generic,Infinity Sports Manchester United Third kit Football Jersey Ronaldo 7,₹349,Available,-,Not Available,Not Applicable,https://www.amazon.in/Infinity-Sports-Manchester-Football-Ronaldo/dp/B0B4W4VS8X/ref=sr_1_53?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-53
65,Generic,Infinity Sports Manchester United Home Football Jersey Ronaldo 7 Full Sleeves,₹379,Available,-,Not Available,Not Applicable,https://www.amazon.in/Infinity-Manchester-Football-Ronaldo-Sleeves/dp/B0B58HNNYY/ref=sr_1_54?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-54
66,Tee Mafia,Unisex hala Madrid Football Combo of Sipper Bottle and T-Shirts| hala Madrid T-Shirt| hala Madrid Sipper Bottle,₹649,Available,-,Not Available,Not Applicable,https://www.amazon.in/Tee-Mafia-Football-T-Shirts-T-Shirt/dp/B07XP3MD3K/ref=sr_1_55?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-55
67,NEVER LOSE,"Men's Athletic Fit Compression Full Sleeve Plain T-shirt for Multi Sports Cycling, Cricket, Football, Badminton & Fitness",₹429,Available,-,Not Available,Not Applicable,https://www.amazon.in/Never-Lose-Compression-Athletic-Badminton/dp/B07TC4387R/ref=sr_1_56?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-56
68,Generic,Infinity Sports Liverpool Football Jersey m Salah 11 Full Sleeves,₹369,Available,-,Not Available,Not Applicable,https://www.amazon.in/Infinity-Sports-Liverpool-Football-Sleeves/dp/B09TH8FX2T/ref=sr_1_57?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-57
69,Sportyway,Man Uni Football New Red Jersey Set T-Shirt and Shorts,₹649,Available,-,Not Available,Not Applicable,https://www.amazon.in/Football-Jersey-T-Shirt-Shorts-Medium/dp/B09KJFS734/ref=sr_1_58?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-58
