,Brand,Product Name,Price,Availability,Expected Delivery,Return Policy,Exchange,Product Url
102,NEVER LOSE,"Women Compression T-Shirt Top Plain Athletic Fit Multi Sports Cycling, Cricket, Football, Badminton, Gym",₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/NEVER-LOSE-Compression-Athletic-Badminton/dp/B09Y36HMPK/ref=sr_1_91?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-91
103,Daily Orders,volleyball jersey set for men sports | sleeveless jersey shorts set for men basketball | sleeveless jersey and shorts for men football team vvolleyball tshirt and shorts combo DOdr1008-C901146-C-WH,₹649,Available,-,Not Available,Not Applicable,https://www.amazon.in/volleyball-sleeveless-basketball-vvolleyball-DOdr1008-C901146-C-WH-XL/dp/B09MJNSG19/ref=sr_1_92?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-92
104,Daily Orders,"Cricket Sports Jersey for Men with Team Name, Name and Number Printed | Cricket t Shirts for Men Printed with Name | Cricket Jersey with My Name DOdr1009-C90180-C-WH",₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Cricket-Printed-DOdr1009-C90180-C-WH-M/dp/B09KN5GF8R/ref=sr_1_93?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-93
105,YONEX,Round Neck Badminton Tshirt,₹650,Available," Sunday, August 7",10 Days Returnable,Not Applicable,https://www.amazon.in/Badminton-Sports-T-Shirt-Orange-Directoire/dp/B09RGZTB4S/ref=sr_1_94?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-94
106,NEVER LOSE,Men's Compression Ultima T-Shirt Top Skin Tights Fit Lycra Inner Wear Full Sleeve for Gym Cricket Football Badminton Sports,₹424,Available,-,Returns Policy,Not Applicable,https://www.amazon.in/NEVER-LOSE-Compression-Football-Badminton/dp/B08FTK869H/ref=sr_1_95?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-95
107,Puma,Pume Men's T-Shirt,"₹2,279",Available,-,Not Available,Not Applicable,https://www.amazon.in/Puma-T-Shirt-4053984696673-74644601_High-Red-White_L/dp/B00JLJQ63G/ref=sr_1_96?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-96
108,NEVER LOSE,Men's Compression Ultima T-Shirt Top Skin Tights Fit Lycra Inner Wear Full Sleeve for Gym Cricket Football Badminton Sports Combo (Pack of 2),₹649,Available,-,Not Available,Not Applicable,https://www.amazon.in/NEVER-LOSE-Compression-Football-Badminton/dp/B09YNRBM8M/ref=sr_1_97?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-97
109,ATICX,"ActiWear Polyester Slim Fit Half Sleeve Sports T-Shirt for Men - Round Neck Jersey for Gym, Running, Cycling, Football, Basketball",₹485,Available,-,Not Available,Not Applicable,https://www.amazon.in/ATICX-Polyester-Actiwear-T-Shirt-Flexsleeveshirt04/dp/B08VN5X9XM/ref=sr_1_98?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-98
110,Campus Sutra,"Men's Striped Mandarin Collar Thumb Hole Gym, Running, Football Jersey T-Shirt (Grey and Charcoal, Medium)",₹499,Available,"Sunday, August 7",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/Campus-Sutra-Mandarin-Football-Charcoal/dp/B085C56STM/ref=sr_1_99?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-99
111,CHKOKKO,Men's Round Neck Gym T-Shirt Black L,₹295,Available,"Saturday, 6 August on your first order in this category",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/CHKOKKO-Mens-Round-T-Shirt-Black/dp/B09F973YJX/ref=sr_1_100?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-100
112,Under Armour,Men's Plain Loose Fit T-Shirt,--,Available,-,Not Available,Not Applicable,https://www.amazon.in/Under-Armour-Zip-up-Mineral-Black/dp/B086ZMGHRV/ref=sr_1_101?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-101
113,Daily Orders,Soccer t-Shirts for Men Football Jersey with My Name Printed Football Jersey for Men Under 400 Soccer Jersey Customized Personalized Football Jersey with Name DOdr1008-C901152-C-WH,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Customized-Personalized-DOdr1008-C901152-C-WH-S/dp/B09MFYZN47/ref=sr_1_102?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-102
114,Just rider,Men's Compression T-Shirt Top Skin Tights Fit Lycra Inner Wear Full Sleeve for Gym Cricket Football Badminton Sports,₹479,Available," Friday, August 5",Not Available,Not Applicable,https://www.amazon.in/JUST-RIDER-Compression-Football-Badminton/dp/B08GH96C3C/ref=sr_1_103?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-103
115,Daily Orders,India Team Jersey 2021 t20 World Cup ODI for Men with Team Name Name and Number Printed | Cricket Sports Jersey | Cricket Jersey with My Name Official DOdr1008-C901147-C-WH,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Customized-Personalized-DOdr1008-C901147-C-WH-S/dp/B09MFYQT6S/ref=sr_1_104?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207915&sprefix=%2Caps%2C225&sr=8-104
116,Lee,Rust Printed Regular Fit Tshirt,₹560,Available,"Friday, 5 August",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A010774924IUC4QNHI6RS&url=%2FLee-Printed-Regular-T-Shirt-LMTS000314_M_Rust%2Fdp%2FB09FLTNJBR%2Fref%3Dsr_1_105_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-105-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_btf
117,DAMENSCH,T-Shirt,₹394,Available,"Monday, August 8 on your first order in this category",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A095464324JX9O1X71JG6&url=%2FDAMENSCH-Better-Basics-Solid-Shirt%2Fdp%2FB09GG5QMHG%2Fref%3Dsr_1_106_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-106-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_btf
118,Lee,Men Solid Cotton Olive Tshirt,₹639,Only 2 left in stock.,"Friday, August 5",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A01076493U7KOR5HS150L&url=%2FLee-Solid-Cotton-Olive-Tshirt%2Fdp%2FB09FQ5W7K8%2Fref%3Dsr_1_107_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-107-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_btf
119,Generic,"Nakoda Creation Full Sleeve T-shirt Round Neck,",₹699,Only 1 left in stock.,+,30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07812982XFOTFH1C2GFU&url=%2FNakoda-Creation-Sleeve-T-shirt-Round%2Fdp%2FB0B7SPMK2W%2Fref%3Dsr_1_108_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207915%26sprefix%3D%252Caps%252C225%26sr%3D8-108-spons%26psc%3D1&qualifier=1659207915&id=1577982739277096&widgetName=sp_btf
120,Generic,Under 19 sports t shirt -size 26 to 36.,₹499,Only 1 left in stock.,August 6 - 7,Returns Policy,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0618080370ED3QBXXTUH&url=%2FUnder-sports-shirt-size-36%2Fdp%2FB0B2JZVGCT%2Fref%3Dsr_1_97_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659208112%26sprefix%3D%252Caps%252C225%26sr%3D8-97-spons%26psc%3D1&qualifier=1659208112&id=8546065642200714&widgetName=sp_atf_next
121,TRENDS TOWER,Pack of 2 Bio Wash Half Sleeve T-Shirts,₹619,Available,"Monday, August 8",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A09828633HTWINFSYUMGF&url=%2FTRENDS-TOWER-Sleeve-Maroon-T-Shirts%2Fdp%2FB09JPBWJSM%2Fref%3Dsr_1_98_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659208112%26sprefix%3D%252Caps%252C225%26sr%3D8-98-spons%26psc%3D1&qualifier=1659208112&id=8546065642200714&widgetName=sp_atf_next
122,COUPLESTUFF.IN,"Couple Men's & Women's Full Sleeve Cotton T Shirt - Pack of 2 (Slim Fit, Multicolor, Men - S to XXL, Women - S to XXL)",₹785,Available,"Friday, 5 August",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A07514741OPD0UOQ16M1C&url=%2FCOUPLESTUFF-Matching-Multicolour-Sleeve-T-Shirts%2Fdp%2FB08CKSQLHD%2Fref%3Dsr_1_99_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659208112%26sprefix%3D%252Caps%252C225%26sr%3D8-99-spons%26psc%3D1&qualifier=1659208112&id=8546065642200714&widgetName=sp_atf_next
123,Generic,"Abstract Mens T-Shirts for Casual, etc",₹599,Only 1 left in stock.,"Monday, August 8",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A04904433Q9BMENIQ34XI&url=%2FAbstract-T-Shirts-Casual-Small-White%2Fdp%2FB0B2PQ9LXN%2Fref%3Dsr_1_100_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659208112%26sprefix%3D%252Caps%252C225%26sr%3D8-100-spons%26psc%3D1&qualifier=1659208112&id=8546065642200714&widgetName=sp_atf_next
124,Generic,Portugal Red Jersey Ronaldo with Shorts,₹359,Available,-,Not Available,Not Applicable,https://www.amazon.in/Portugal-Jersey-Ronaldo-Shorts-8-9Years/dp/B0B7DK9GD7/ref=sr_1_101?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-101
125,Puma,Men's Regular Fit T-Shirt,₹979,Available,"Monday, August 8",10 Days Returns & Exchange,Not Applicable,https://www.amazon.in/Cup-Jersey-Pepper-Green-White/dp/B07QMXGJ5V/ref=sr_1_102?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-102
126,Tee Mafia,Unisex Juventus T-Shirts |Football T-Shirts| Cristiano Ronaldo T-Shirt| Sports t-Shirt|White-DF003-RONALDO-1-polyster,₹449,Available,-,Not Available,Not Applicable,https://www.amazon.in/Tee-Mafia-Juventus-Cristiano-White-DF003-RONALDO-1-polyster/dp/B08X24313G/ref=sr_1_103?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-103
127,Bon Organik,Boys T-Shirt,₹549,Available,-,Not Available,Not Applicable,https://www.amazon.in/Bon-Organik-Regular-T-Shirt-BON7844_Multi4/dp/B0999KW28P/ref=sr_1_104?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-104
128,The Desi Monk,Unisex Germany Champion Black T-Shirt with Print | FIFA World Cup Black T-Shirt | Football T-Shirt | Thomas Müller t-Shirt | FIFA22 Black Round Neck T- Shirt with Fanmade Print,₹494,Available,-,Not Available,Not Applicable,https://www.amazon.in/Desi-Monk-Germany-Champion-Football/dp/B0B4DT9MVY/ref=sr_1_105?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-105
129,Montae,Germany Football Men's Graphic T-Shirt,₹597,Available,-,Not Available,Not Applicable,https://www.amazon.in/Montae-Germany-Football-Graphic-Tshirt/dp/B0B4F5RP51/ref=sr_1_106?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-106
130,Daily Orders,Soccer t-Shirts for Men Football Jersey with My Name Printed Football Jersey for Men Under 400 Soccer Jersey Customized Personalized Football Jersey with Name DOdr1008-C901158-C-WH,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Customized-Personalized-DOdr1008-C901158-C-WH-L/dp/B09MFX7YX6/ref=sr_1_107?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-107
131,ASICS,Women's Regular T-Shirt,"₹2,599",Available,-,Not Available,Not Applicable,https://www.amazon.in/ASICS-Womens-Regular-T-Shirt-2012A275-001_Performance/dp/B08DJ4KVKS/ref=sr_1_108?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-108
132,Triumph,Men's Socer Football Tennis Badminton Running Gym Regular Fit T-Shirt Jersey T-Shirt Fitness Workout t Shirt Joggers Jogging Tshirt Jersey Half Sleeve Polyester T-Shirt Sports tees,₹749,Available,-,Not Available,Not Applicable,https://www.amazon.in/Triumph-football-Badminton-Running-Polyester/dp/B097C5WWD7/ref=sr_1_109?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-109
133,HENCO,"Navy Blue Sports Dress/kit (T- Shirt & Short Combo) for Kabbadi,Multi Sports, Yoga, Volleyball, Football,Tennis,Cycling, Badminton, Gym & Fitness Wear for Men/Women, Boy/Girl",₹549,Available," Saturday, August 6",10 day Refund/Replacement,Not Applicable,https://www.amazon.in/HENCO-T-Shirt-Volleyball-Football-Badminton/dp/B083FZQV4K/ref=sr_1_110?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-110
134,Generic,Infinity Sports Manchester United Home Jersey Ronaldo 7 Full Sleeves and PSG Home Jersey Full Sleeve,₹499,Available,-,Not Available,Not Applicable,https://www.amazon.in/Infinity-Sports-Manchester-Ronaldo-Sleeves/dp/B09W19XDBD/ref=sr_1_111?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-111
135,Daily Orders,Kabaddi Jersey with Number and Name Printed Kabaddi kit for Boys Sport pro Kabaddi Jersey Full Set kabbadi t Shirts for Men Kabaddi Jersey Shorts Athletics Yoga DOdr1008-C901113-C-WH,₹649,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Kabaddi-Athletics-DOdr1008-C901113-C-WH-S/dp/B09MJ2RHGX/ref=sr_1_112?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-112
136,Sportyway,Unisex Kids Argentina Football Jersey Set,₹599,Available," Saturday, August 6",Not Available,Not Applicable,https://www.amazon.in/Sportyway-Unisex-Argentina-Football-Polyester/dp/B07L7WM7Z5/ref=sr_1_113?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-113
137,Tee Mafia,Unisex Barcelona Football Combo of Sipper Bottle and T-Shirts| Barcelona T-Shirt| Barcelona Sipper Bottle,₹649,Available,-,Not Available,Not Applicable,https://www.amazon.in/Tee-Mafia-Barcelona-Football-T-Shirts/dp/B07XP78QBG/ref=sr_1_114?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-114
138,Daily Orders,Soccer t-Shirts for Men Football Jersey with My Name Printed Football Jersey for Men Under 400 Soccer Jersey Customized Personalized Football Jersey with Name DOdr1008-C901155-C-WH,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Customized-Personalized-DOdr1008-C901155-C-WH-S/dp/B09MFWRRN8/ref=sr_1_115?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-115
139,CHRYSOLITE,"Mumbai City Football Club (MCFC) Fan Art Men's Cotton Round Neck Tshirt in Black, Navy Blue & Royal Blue",₹299,Available,-,Not Available,Not Applicable,https://www.amazon.in/CHRYSOLITE-Mumbai-Football-Cotton-Tshirt/dp/B0779DQXZ8/ref=sr_1_116?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-116
140,TRENDS TOWER,Mens Full Sleeve Bio Wash Raglan Yellow Color T-Shirt,₹420,Available,"Thursday, 4 August",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A09752833PKMI9NCIZLD&url=%2FTRENDS-TOWER-Sleeve-Raglan-T-Shirt%2Fdp%2FB08ZL37JTL%2Fref%3Dsr_1_117_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659208112%26sprefix%3D%252Caps%252C225%26sr%3D8-117-spons%26psc%3D1&qualifier=1659208112&id=8546065642200714&widgetName=sp_mtf
141,Lee,White Graphic Print Regular Fit Tshirt,₹599,Available,"Monday, 8 August",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A01084851O79GR9NTQU30&url=%2FLee-Graphic-Regular-T-Shirt-LMTS000269_M_White%2Fdp%2FB09FLTKKP7%2Fref%3Dsr_1_118_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659208112%26sprefix%3D%252Caps%252C225%26sr%3D8-118-spons%26psc%3D1&qualifier=1659208112&id=8546065642200714&widgetName=sp_mtf
142,Generic,Rajendra T Shirt House Best Blue Boys T-Shirt Fully Cotton Material (8),--,Available,-,10 Days Returnable,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A05684663HVDYLVDS0YN1&url=%2FRajendra-Shirt-T-Shirt-Cotton-Material%2Fdp%2FB09YMFMY6W%2Fref%3Dsr_1_119_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659208112%26sprefix%3D%252Caps%252C225%26sr%3D8-119-spons%26psc%3D1&qualifier=1659208112&id=8546065642200714&widgetName=sp_mtf
143,Scott International,Men's Regular Fit T-Shirt (Pack of 3),₹471,Available,"Sunday, August 7 on your first order in this category",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A044357336BP94VOPKYZV&url=%2FScott-International-Regular-T-Shirt-SS20-3RN-BU-GR-CH-XL_Multicolored_X-Large%2Fdp%2FB084L927MC%2Fref%3Dsr_1_120_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659208112%26sprefix%3D%252Caps%252C225%26sr%3D8-120-spons%26psc%3D1&qualifier=1659208112&id=8546065642200714&widgetName=sp_mtf
144,STAND OUT,Adiyogi | Isha | Black Shiva T-Shirt,₹599,Available,-,Not Available,Not Applicable,https://www.amazon.in/STAND-OUT-Adiyogi-T-Shirt-XX-Large/dp/B096QJLHD1/ref=sr_1_121?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-121
145,Daily Orders,Soccer t-Shirts for Men Football Jersey with My Name Printed Football Jersey for Men Under 400 Soccer Jersey Customized Personalized Football Jersey with Name DOdr1008-C901149-C-WH,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Daily-Orders-Customized-Personalized-DOdr1008-C901149-C-WH-L/dp/B09MFYHMPC/ref=sr_1_122?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-122
146,Real Basics,Boy's Regular Tshirt(Pack of 1),₹349,Available,-,Not Available,Not Applicable,https://www.amazon.in/Real-Basics-Fullsleeve-Regular-Football/dp/B08LD7DSQ8/ref=sr_1_123?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-123
147,Generic,Infinity Sports Chelsea Football Jersey Full Sleeve 2021-22,₹359,Available,-,Not Available,Not Applicable,https://www.amazon.in/Infinity-Sports-Chelsea-Football-2021-22/dp/B0B5Y9HK8W/ref=sr_1_124?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-124
148,CHKOKKO,Men's Regular Fit Full Sleeves Gym T-Shirt,₹284,Available,-,Not Available,Not Applicable,https://www.amazon.in/CHKOKKO-Polyester-Regular-Stretchable-T-shirt/dp/B07XKHD5YG/ref=sr_1_125?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-125
149,NEVER LOSE,"Women Compression T-Shirt, Top Full Sleeve Plain Athletic Fit Multi Sports Cycling, Cricket, Football, Badminton, Gym, Fitness & Other Outdoor Inner Wear Size",₹499,Available,-,Not Available,Not Applicable,https://www.amazon.in/NEVER-LOSE-Compression-Athletic-Badminton/dp/B097L866KC/ref=sr_1_126?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-126
150,WARRIOR,/ Triumph Polyester Full Sleeve Custom Soccer Goalie Jersey Boy Men's Football Jersey Soccer Goalkeeper Jersey Tshirt Football T-Shirt for Goalkeeper,₹999,Available,-,Not Available,Not Applicable,https://www.amazon.in/WARRIOR-Triumph-Polyester-Football-Goalkeeper/dp/B08Z8BPTY9/ref=sr_1_127?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-127
151,NEVER LOSE,Men's Compression Ultima T-Shirt Top Skin Tights Fit Lycra Inner Wear Full Sleeve for Gym Cricket Football Badminton Sports Combo (Pack of 3),₹899,Available,-,Not Available,Not Applicable,https://www.amazon.in/NEVER-LOSE-Compression-Football-Badminton/dp/B09YNQT4CP/ref=sr_1_128?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-128
152,Wobinobi,Boys T-Shirt Football Bicycle Kick 100% Cotton Boys T-Shirt,₹699,Available,-,Not Available,Not Applicable,https://www.amazon.in/Wobinobi-T-Shirt-Football-Bicycle-Cotton/dp/B0B4PC95RN/ref=sr_1_129?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-129
153,OBOW,Boy's Yellow Football Cotton Printed Tshirt,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/OBOW-Yellow-Football-Cotton-Printed/dp/B08JZD2QXB/ref=sr_1_130?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-130
154,Generic,Infinity Sports Manchester United Away Jersey Ronaldo 7,₹349,Available,-,Not Available,Not Applicable,https://www.amazon.in/Infinity-Sports-Manchester-United-Ronaldo/dp/B09Q11B7DW/ref=sr_1_131?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-131
155,281Z,Mens Thermal Lightweight Base Layer T-Shirt - Hiking Trekking Outdoor - Polartec Power Grid - Terrain Reliability Line,--,Available,-,Not Available,Not Applicable,https://www.amazon.in/281Z-Thermal-Lightweight-Layer-T-Shirt/dp/B082B4S81G/ref=sr_1_132?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-132
156,Triumph,Men's Soccer Goalkeeper Jerseys Goalie T Shirt Light Blue,"₹1,199",Available,-,Not Available,Not Applicable,https://www.amazon.in/Triumph-Best-Soccer-Goalie-Jersey/dp/B08DRN2P2T/ref=sr_1_133?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-133
157,ManHood,Men's Summer Regular Fit Half Sleeve Stretchable Dry Fit Camouflage Army Printed Synthetic Lycra Polo T-Shirt for Sports Gym Running Football.,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/ManHood-Regular-Stretchable-Synthetic-Football/dp/B08YWBQTDF/ref=sr_1_134?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-134
158,Harbour 9,Harbour 9 Boys Football Blue T Shirt,₹599,Available," Wednesday, August 10",10 Days Returnable,Not Applicable,https://www.amazon.in/Harbour-Boys-Football-Blue-Shirt/dp/B0B38RDXSH/ref=sr_1_135?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-135
159,Adidas,Women's Regular T-Shirt,"₹1,439",Available,-,Not Available,Not Applicable,https://www.amazon.in/Adidas-Womens-Regular-T-Shirt-GM5935_Black/dp/B08CBK6VJZ/ref=sr_1_136?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-136
160,Prink,Cristiano Ronaldo Printed T-Shirts | Cr7 T-Shirts for Ronaldo Fans | Football Printed Round Neck Tshirts for Men | Black Cotton Regular fit Tshirts |,₹499,Available,-,Not Available,Not Applicable,https://www.amazon.in/Prink-Cristiano-Ronaldo-T-Shirts-Football/dp/B09SB166QL/ref=sr_1_137?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-137
161,Trendy Dukaan,Sports Jersey/Tshirts And Shorts For Boys And Girls,₹895,Available,-,Not Available,Not Applicable,https://www.amazon.in/Trendy-Dukaan-Sports-Jersey-Tshirts/dp/B09GPR3GJB/ref=sr_1_138?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659208112&sprefix=%2Caps%2C225&sr=8-138
