,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
10,Henrix,"Henrix Cutaway Acoustic Guitar- VARIATION (38CBK, Black)","2,999",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VNDW6QF/ref=sr_1_9?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-9
11,Hovner,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","4,280",Available," Saturday, August 6",7 Days Replacement,Not Applicable,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_10?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-10
12,YAMAHA,YAMAHA Meranti Wood Classical Guitar C40//02,"7,200",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_11?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-11
13,Kadence,"Kadence Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set of Strings, Strap, Picks and Bag (Black EQ, Electric Acoustic)","6,299",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_12?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-12
14,Juarez,"Juarez Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, 3TS Sunburst","2,299",Available," Saturday, August 6",7 Days Replacement,Not Applicable,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_13?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-13
15,Photron,"Photron Acoustic Guitar, 38 inches Cutaway, PH38C/BK with Picks Only, Black (Without Bag, Strap and Extra Strings)","2,190",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Photron-Acoustic-Cutaway-PH38C-BK/dp/B076T8V8NB/ref=sr_1_14?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-14
16,Kadence,"Kadence Frontier guitar with Online Guitar learning course, Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","5,224",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01GDZ46AA/ref=sr_1_15?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-15
17,Intern,"Intern 38C Acoustic Steel-string Guitar Premium White Cutaway Design with carry bag, strings, guitar strap and plectrums (INT-38C-WH)","2,350",Available,August 8 - 11,7 Days Replacement,Not Applicable,https://www.amazon.in/Intern-Acoustic-Steel-string-plectrums-INT-38C-WH/dp/B09LR94Z2X/ref=sr_1_16?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-16
18,Juarez,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38C/RDS with Bag, Strings, Pick and Strap, Red Sunburst","2,280",Available," Thursday, August 11",7 Days Replacement,Not Applicable,https://www.amazon.in/Acoustic-Cutaway-RDS-Strings-Sunburst/dp/B076QGY91P/ref=sr_1_17?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-17
19,Intern,Intern 38C Ebony Wood Cutaway Design Acoustic Guitar with Picks And Carry Bag (Black),"2,150",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Intern-38-inch-Cutaway-Design-Acoustic/dp/B07X4PN85R/ref=sr_1_18?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-18
20,Juarez,"Juarez JRZ-ST01 6-String Electric Guitar, Right Handed, Full Black, with Case/Bag and Picks","5,739",Available," Saturday, August 6",7 Days Replacement,Not Applicable,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOGM/ref=sr_1_19?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-19
21,Intern,Intern Int-38c Sunburst Acoustic Guitar Kit with Carry Bag and Picks,"2,350",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Intern-INT-38C-Sunburst-Acoustic-Guitar/dp/B07X1J4D3Z/ref=sr_1_20?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-20
22,HENTJ,"HENTJ 4 String Musical 23"" Guitar for Kids Instrument Acoustic Learning Educational Toy for Child with Ability Brown Color Best Gift for Boys & Girls",899,Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00613812IJ44JJE9SADE&url=%2FHENTJ-Instrument-Acoustic-Learning-Educational%2Fdp%2FB0B5H8GKK1%2Fref%3Dsr_1_21_sspa%3Fcrid%3D39WIIFGVHNH47%26keywords%3Dguitars%26qid%3D1659376917%26sprefix%3D%252Caps%252C222%26sr%3D8-21-spons%26psc%3D1&qualifier=1659376917&id=4933130625134766&widgetName=sp_mtf
23,Cort,"Cort AD810 Dreadnought Acoustic Guitar with Gig Bag,Tuner,Picks and Strap (Natural Bundle)","11,248",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08790022Y5TKL7GOFMBU&url=%2FCort-AD810-Dreadnought-Acoustic-Guitar%2Fdp%2FB07KMBVR6V%2Fref%3Dsr_1_22_sspa%3Fcrid%3D39WIIFGVHNH47%26keywords%3Dguitars%26qid%3D1659376917%26sprefix%3D%252Caps%252C222%26sr%3D8-22-spons%26psc%3D1&qualifier=1659376917&id=4933130625134766&widgetName=sp_mtf
24,Octave,Octave Guitars,"4,800",Only 1 left in stock.," Wednesday, August 10",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05363921Y1WOJEY97SAV&url=%2FOCTAVE-38-3TS-Octave-Guitars%2Fdp%2FB07HFX53H9%2Fref%3Dsr_1_23_sspa%3Fcrid%3D39WIIFGVHNH47%26keywords%3Dguitars%26qid%3D1659376917%26sprefix%3D%252Caps%252C222%26sr%3D8-23-spons%26psc%3D1&qualifier=1659376917&id=4933130625134766&widgetName=sp_mtf
25,LUCHILA,LUCHILA 4 String Decor Guitar Children's Musical Instrument Educational Toy Small Guitar for Beginners Kids Child,965,Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A077094238JJH9C76Z1GW&url=%2FLUCHILA-Childrens-Instrument-Educational-Beginners%2Fdp%2FB09T3Q72CJ%2Fref%3Dsr_1_24_sspa%3Fcrid%3D39WIIFGVHNH47%26keywords%3Dguitars%26qid%3D1659376917%26sprefix%3D%252Caps%252C222%26sr%3D8-24-spons%26psc%3D1&qualifier=1659376917&id=4933130625134766&widgetName=sp_mtf
26,Juârez,"Juârez JRZ38C/WH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, White with Bag, Strings, Picks and Strap","2,998",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Ju%C3%A2rez-JRZ38C-WH-Strings-Acoustic/dp/B072MFK4L6/ref=sr_1_25?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-25
27,Intern,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Blue","2,333",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_26?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-26
28,Medellin,"Medellin 38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand.","2,499",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSFP7JK/ref=sr_1_27?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-27
29,Revel,Revel 38 Inches Cutaway Design Acoustic Guitar with Carry bag and Plectrums. Great tone and Beginner/Learners standard size configuration for all age groups (Natural),"2,279",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Revel-RVL-38C-LGP-NT-Linden-Acoustic-Natural/dp/B085HVRHPS/ref=sr_1_28?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-28
30,JUAREZ,"JUAREZ JRZ38C Right Handed Acoustic Guitar with Bag, Strings, Pick and Strap (Natural, 6 Strings)","2,639",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Natural-Strings/dp/B01FYYTDWC/ref=sr_1_29?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-29
31,Intern,Intern Int-38c Linden Wood Acoustic Guitar Kit with Carry Bag and Picks (Brown),"2,866",Available," Saturday, August 6",7 Days Replacement,Not Applicable,https://www.amazon.in/Intern-INT-38C-Brown-Acoustic-Guitar/dp/B07X2HV158/ref=sr_1_30?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-30
32,Medellin,"Medellin 38"" Carbon Fiber Acoustic Guitar with free specailized learning course- MDCF38BK Durable Carbon Fiber Matt Sunburst finish Body for beginners with handrest, set of Strings, Strap, Bag, 3 Picks, Capo, Guitar Wall Hanging Stand and Free GUITAR LEARNING COURSE (Special Learning Combo with Guitar)","2,499",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Medellin-Acoustic-specailized-learning-beginners/dp/B09MSGN39M/ref=sr_1_31?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-31
33,Intern,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Natural","2,350",Only 1 left in stock.," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Natural/dp/B073B4D22T/ref=sr_1_32?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-32
34,Intern,"Intern INT-38C-BK-G Cutaway Right Handed Acoustic Guitar Kit, with Bag, Nickel Strings, Pick And Strap (Black) -6 Strings","2,390",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Intern-INT-38C-BK-G-Guitar-Kit-Black/dp/B07K9497RC/ref=sr_1_33?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-33
