,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
10,Nivia,Nivia Europa Basketball,200-,Available,-,10 Days Replacement,Not Applicable,https://www.amazon.in/Nivia-633-Europa-Basketball-Multicolor/dp/B07CRF73HQ/ref=sr_1_9?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-9
11,Spalding,Spalding Crossover NBA Basketball,938,Available," Sunday, August 7",10 Days Replacement,Not Applicable,https://www.amazon.in/Spalding-BB-SPALDING-Crossover-Brick-7-Basketball-Size-Orange/dp/B07SGBZ5BR/ref=sr_1_10?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-10
12,Nivia,Nivia Engraver Basketball,758,Available," tomorrow, August 2",10 Days Replacement,Not Applicable,https://www.amazon.in/Nivia-Engraver-Basketball-Size-Red/dp/B00IAPJVLQ/ref=sr_1_11?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-11
13,Nivia,Nivia Engraver Basketball,705,Available,August 5 - 8,10 Days Replacement,Not Applicable,https://www.amazon.in/Nivia-BB-201-Engraver-Basketball/dp/B00FEKT4OO/ref=sr_1_12?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-12
14,Nivia,"Nivia Pro Touch Basketball, Size: 7, Material: Faux Leather, Color: Multicolor","1,405",Available,August 6 - 10,10 Days Replacement,Not Applicable,https://www.amazon.in/Nivia-Pro-Touch-Basketball/dp/B0094VSP8K/ref=sr_1_13?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-13
15,Cosco,Cosco Dribble Basket Balls (Orange),640,Available," Sunday, August 7",10 Days Replacement,Not Applicable,https://www.amazon.in/Cosco-Dribble-Basketballs-Size-Orange/dp/B00ID6P0SK/ref=sr_1_14?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-14
16,Amazon,"Amazon Brand - Solimo Training Basketball, Camouflage",449,Available," Saturday, August 6",10 Days Replacement,Not Applicable,https://www.amazon.in/Amazon-Brand-Training-Basketball-Camouflage/dp/B082L9GWG4/ref=sr_1_15?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-15
17,Spalding,Spalding NBA Rebound Baksetball (Brick),675,Available," Sunday, August 7",10 Days Replacement,Not Applicable,https://www.amazon.in/Spalding-BB-SPALDING-NBA-Rebound-Brick-5-Basketball-Size-Orange/dp/B07QNL8CJL/ref=sr_1_16?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-16
18,KONEXPRO,KONEXPRO Rubber Basketball CLS 1906 with Inflating DEFLATING PIN Size 7 Brick Orange,375,Available," Tuesday, August 9",10 Days Returnable,Not Applicable,https://www.amazon.in/KONEX-Rubber-Basketball-Inflating-Deflating/dp/B095SX44ZY/ref=sr_1_17?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-17
19,Cosco,"Cosco Rubber Basketball with Hand Pump, Size 7 (Multicolour)",690,Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Cosco-Dribble-Basketball-Hand-Pump/dp/B0737CF4HW/ref=sr_1_18?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-18
