,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
32,Samsung,"Samsung 345 L 3 Star Digital Inverter Frost Free Double Door Refrigerator (RT37A4513BX/HL, Convertible, Luxe Black)","36,490",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01028492KYCWN4F86CEM&url=%2FSamsung-Refrigerator-RT37A4513BX-HL-Convertible%2Fdp%2FB097T1PBVF%2Fref%3Dsr_1_27_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372689%26sprefix%3D%252Caps%252C395%26sr%3D8-27-spons%26psc%3D1&qualifier=1659372689&id=3828164566859793&widgetName=sp_mtf
33,Samsung,"Samsung 255 L 3 Star Inverter Direct Cool Single Door Refrigerator(RR26T389YUT/HL, Pebble Blue, Base Stand with Drawer)","20,390",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01265332F7EET02JDJWK&url=%2FSamsung-Inverter-Refrigerator-RR26T389YUT-HL%2Fdp%2FB08346C9R4%2Fref%3Dsr_1_28_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372689%26sprefix%3D%252Caps%252C395%26sr%3D8-28-spons%26psc%3D1&qualifier=1659372689&id=3828164566859793&widgetName=sp_mtf
34,Whirlpool,"Whirlpool 215 L 5 Star Inverter Direct-Cool Single Door Refrigerator with Intellisense inverter technology(230 IMPRO ROY 5S INV SAPPHIRE ABYSS, Sapphire Abyss)","20,490",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Whirlpool-230-IMPRO-SAPPHIRE-ABYSS/dp/B086H3NR1F/ref=sr_1_29?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372689&sprefix=%2Caps%2C395&sr=8-29
35,Whirlpool,"Whirlpool 190 L 2 Star Direct-Cool Single Door Refrigerator (WDE 205 CLS PLUS 2S SAPPHIRE BLOOM), Blue","13,990",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Whirlpool-Direct-Cool-Single-Refrigerator-SAPPHIRE/dp/B09PMTJPPQ/ref=sr_1_30?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372689&sprefix=%2Caps%2C395&sr=8-30
36,Whirlpool,"Whirlpool 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator (WDE 205 PRM 4S INV, Sapphire Magnolia)","16,390",Available," Tue, 9 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Whirlpool-Inverter-Direct-Cool-Refrigerator-Sapphire/dp/B091Q3T3KQ/ref=sr_1_31?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372689&sprefix=%2Caps%2C395&sr=8-31
37,Haier,Haier 195L 5 Star with Inverter Direct-Cool Single Door Refrigerator (HED-20FDS - Brushline Silver/Dazzel Steel),"16,666",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Haier-Inverter-Refrigerator-HED-20FDS-Brushline/dp/B09BK34W53/ref=sr_1_32?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372689&sprefix=%2Caps%2C395&sr=8-32
38,Haier,Haier 192L 3Star Direct-Cool Single Door Refrigerator (HED-191BMS- Moon Silver),"13,490",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Haier-Direct-Cool-Single-Refrigerator-HED-191BMS/dp/B09RLVQBPG/ref=sr_1_33?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372689&sprefix=%2Caps%2C395&sr=8-33
39,Godrej,"Godrej 30 L Qube Personal Cooling Solution (TEC Qube 30L HS Q103, Black)","7,240",Available," Mon, 8 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Godrej-Qube-Personal-Cooling-Solution/dp/B07R3WXXH5/ref=sr_1_34?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372689&sprefix=%2Caps%2C395&sr=8-34
40,Haier,Haier 220L 4 Star with Inverter Direct-Cool Single Door Refrigerator (HED-22FPMF -Marine Crane) With Base Drawer,"20,450",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Haier-Inverter-Direct-Cool-Refrigerator-HED-22FPMF/dp/B09RLVY6PJ/ref=sr_1_35?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372689&sprefix=%2Caps%2C395&sr=8-35
41,LG,"LG 284 L 3 Star Inverter Linear Frost-Free Double Door Refrigerator (GL-T302RBPN, Blue Plumeria, Convertible)","32,065",Only 1 left in stock.," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/LG-Inverter-Frost-Free-Refrigerator-GL-T302RBPN/dp/B07J4X2D15/ref=sr_1_36?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372689&sprefix=%2Caps%2C395&sr=8-36
